date,realtime_end,realtime_start,value
1967-10-01,2019-09-15,2019-09-15,33.7
1967-11-01,2019-09-15,2019-09-15,33.9
1967-12-01,2019-09-15,2019-09-15,34.0
1968-01-01,2019-09-15,2019-09-15,34.1
1968-02-01,2019-09-15,2019-09-15,34.2
1968-03-01,2019-09-15,2019-09-15,34.3
1968-04-01,2019-09-15,2019-09-15,34.4
1968-05-01,2019-09-15,2019-09-15,34.5
1968-06-01,2019-09-15,2019-09-15,34.7
1968-07-01,2019-09-15,2019-09-15,34.9
1968-08-01,2019-09-15,2019-09-15,35.0
1968-09-01,2019-09-15,2019-09-15,35.1
1968-10-01,2019-09-15,2019-09-15,35.3
1968-11-01,2019-09-15,2019-09-15,35.4
1968-12-01,2019-09-15,2019-09-15,35.6
1969-01-01,2019-09-15,2019-09-15,35.7
1969-02-01,2019-09-15,2019-09-15,35.8
1969-03-01,2019-09-15,2019-09-15,36.1
1969-04-01,2019-09-15,2019-09-15,36.3
1969-05-01,2019-09-15,2019-09-15,36.4
1969-06-01,2019-09-15,2019-09-15,36.6
1969-07-01,2019-09-15,2019-09-15,36.8
1969-08-01,2019-09-15,2019-09-15,36.9
1969-09-01,2019-09-15,2019-09-15,37.1
1969-10-01,2019-09-15,2019-09-15,37.3
1969-11-01,2019-09-15,2019-09-15,37.5
1969-12-01,2019-09-15,2019-09-15,37.7
1970-01-01,2019-09-15,2019-09-15,37.9
1970-02-01,2019-09-15,2019-09-15,38.1
1970-03-01,2019-09-15,2019-09-15,38.3
1970-04-01,2019-09-15,2019-09-15,38.5
1970-05-01,2019-09-15,2019-09-15,38.6
1970-06-01,2019-09-15,2019-09-15,38.8
1970-07-01,2019-09-15,2019-09-15,38.9
1970-08-01,2019-09-15,2019-09-15,39.0
1970-09-01,2019-09-15,2019-09-15,39.2
1970-10-01,2019-09-15,2019-09-15,39.4
1970-11-01,2019-09-15,2019-09-15,39.6
1970-12-01,2019-09-15,2019-09-15,39.8
1971-01-01,2019-09-15,2019-09-15,39.9
1971-02-01,2019-09-15,2019-09-15,39.9
1971-03-01,2019-09-15,2019-09-15,40.0
1971-04-01,2019-09-15,2019-09-15,40.1
1971-05-01,2019-09-15,2019-09-15,40.3
1971-06-01,2019-09-15,2019-09-15,40.5
1971-07-01,2019-09-15,2019-09-15,40.6
1971-08-01,2019-09-15,2019-09-15,40.7
1971-09-01,2019-09-15,2019-09-15,40.8
1971-10-01,2019-09-15,2019-09-15,40.9
1971-11-01,2019-09-15,2019-09-15,41.0
1971-12-01,2019-09-15,2019-09-15,41.1
1972-01-01,2019-09-15,2019-09-15,41.2
1972-02-01,2019-09-15,2019-09-15,41.4
1972-03-01,2019-09-15,2019-09-15,41.4
1972-04-01,2019-09-15,2019-09-15,41.5
1972-05-01,2019-09-15,2019-09-15,41.6
1972-06-01,2019-09-15,2019-09-15,41.7
1972-07-01,2019-09-15,2019-09-15,41.8
1972-08-01,2019-09-15,2019-09-15,41.9
1972-09-01,2019-09-15,2019-09-15,42.1
1972-10-01,2019-09-15,2019-09-15,42.2
1972-11-01,2019-09-15,2019-09-15,42.4
1972-12-01,2019-09-15,2019-09-15,42.5
1973-01-01,2019-09-15,2019-09-15,42.7
1973-02-01,2019-09-15,2019-09-15,43.0
1973-03-01,2019-09-15,2019-09-15,43.4
1973-04-01,2019-09-15,2019-09-15,43.7
1973-05-01,2019-09-15,2019-09-15,43.9
1973-06-01,2019-09-15,2019-09-15,44.2
1973-07-01,2019-09-15,2019-09-15,44.2
1973-08-01,2019-09-15,2019-09-15,45.0
1973-09-01,2019-09-15,2019-09-15,45.2
1973-10-01,2019-09-15,2019-09-15,45.6
1973-11-01,2019-09-15,2019-09-15,45.9
