date,realtime_end,realtime_start,value
1972-12-01,2019-09-15,2019-09-15,91381.0
1973-01-01,2019-09-15,2019-09-15,91688.0
1973-02-01,2019-09-15,2019-09-15,90275.0
1973-03-01,2019-09-15,2019-09-15,91118.0
1973-04-01,2019-09-15,2019-09-15,92586.0
1973-05-01,2019-09-15,2019-09-15,93118.0
1973-06-01,2019-09-15,2019-09-15,93732.0
1973-07-01,2019-09-15,2019-09-15,95575.0
1973-08-01,2019-09-15,2019-09-15,95828.0
1973-09-01,2019-09-15,2019-09-15,96226.0
1973-10-01,2019-09-15,2019-09-15,97484.0
1973-11-01,2019-09-15,2019-09-15,98343.0
1973-12-01,2019-09-15,2019-09-15,100143.0
1974-01-01,2019-09-15,2019-09-15,100376.0
1974-02-01,2019-09-15,2019-09-15,99063.0
1974-03-01,2019-09-15,2019-09-15,99604.0
1974-04-01,2019-09-15,2019-09-15,101743.0
1974-05-01,2019-09-15,2019-09-15,102777.0
1974-06-01,2019-09-15,2019-09-15,103597.0
1974-07-01,2019-09-15,2019-09-15,105054.0
1974-08-01,2019-09-15,2019-09-15,105046.0
1974-09-01,2019-09-15,2019-09-15,105292.0
1974-10-01,2019-09-15,2019-09-15,105704.0
1974-11-01,2019-09-15,2019-09-15,106933.0
1974-12-01,2019-09-15,2019-09-15,108640.0
1975-01-01,2019-09-15,2019-09-15,107745.0
1975-02-01,2019-09-15,2019-09-15,105511.0
1975-03-01,2019-09-15,2019-09-15,105693.0
1975-04-01,2019-09-15,2019-09-15,106816.0
1975-05-01,2019-09-15,2019-09-15,106989.0
1975-06-01,2019-09-15,2019-09-15,108423.0
1975-07-01,2019-09-15,2019-09-15,109501.0
1975-08-01,2019-09-15,2019-09-15,109092.0
1975-09-01,2019-09-15,2019-09-15,109203.0
1975-10-01,2019-09-15,2019-09-15,109675.0
1975-11-01,2019-09-15,2019-09-15,111096.0
1975-12-01,2019-09-15,2019-09-15,113125.0
1976-01-01,2019-09-15,2019-09-15,111925.0
1976-02-01,2019-09-15,2019-09-15,110558.0
1976-03-01,2019-09-15,2019-09-15,111255.0
1976-04-01,2019-09-15,2019-09-15,113093.0
1976-05-01,2019-09-15,2019-09-15,113566.0
1976-06-01,2019-09-15,2019-09-15,114411.0
1976-07-01,2019-09-15,2019-09-15,115579.0
1976-08-01,2019-09-15,2019-09-15,115533.0
1976-09-01,2019-09-15,2019-09-15,115573.0
1976-10-01,2019-09-15,2019-09-15,116554.0
1976-11-01,2019-09-15,2019-09-15,118343.0
1976-12-01,2019-09-15,2019-09-15,120337.0
1977-01-01,2019-09-15,2019-09-15,119677.0
1977-02-01,2019-09-15,2019-09-15,117818.0
1977-03-01,2019-09-15,2019-09-15,118719.0
1977-04-01,2019-09-15,2019-09-15,120646.0
1977-05-01,2019-09-15,2019-09-15,120979.0
1977-06-01,2019-09-15,2019-09-15,121804.0
1977-07-01,2019-09-15,2019-09-15,124091.0
1977-08-01,2019-09-15,2019-09-15,124180.0
1977-09-01,2019-09-15,2019-09-15,124425.0
1977-10-01,2019-09-15,2019-09-15,125749.0
1977-11-01,2019-09-15,2019-09-15,127607.0
1977-12-01,2019-09-15,2019-09-15,129915.0
1978-01-01,2019-09-15,2019-09-15,130211.0
1978-02-01,2019-09-15,2019-09-15,128671.0
1978-03-01,2019-09-15,2019-09-15,129110.0
1978-04-01,2019-09-15,2019-09-15,131177.0
1978-05-01,2019-09-15,2019-09-15,132255.0
1978-06-01,2019-09-15,2019-09-15,133606.0
1978-07-01,2019-09-15,2019-09-15,135708.0
1978-08-01,2019-09-15,2019-09-15,135209.0
1978-09-01,2019-09-15,2019-09-15,136211.0
1978-10-01,2019-09-15,2019-09-15,137572.0
1978-11-01,2019-09-15,2019-09-15,140734.0
1978-12-01,2019-09-15,2019-09-15,144721.0
1979-01-01,2019-09-15,2019-09-15,144328.0
1979-02-01,2019-09-15,2019-09-15,141606.0
