date,realtime_end,realtime_start,value
2002-01-01,2019-09-14,2019-09-14,10788.952
2002-04-01,2019-09-14,2019-09-14,10893.207
2002-07-01,2019-09-14,2019-09-14,10992.051000000001
2002-10-01,2019-09-14,2019-09-14,11071.463
2003-01-01,2019-09-14,2019-09-14,11183.507
2003-04-01,2019-09-14,2019-09-14,11312.875
2003-07-01,2019-09-14,2019-09-14,11567.326000000001
2003-10-01,2019-09-14,2019-09-14,11769.275
2004-01-01,2019-09-14,2019-09-14,11920.169
2004-04-01,2019-09-14,2019-09-14,12108.987
2004-07-01,2019-09-14,2019-09-14,12303.34
2004-10-01,2019-09-14,2019-09-14,12522.425
2005-01-01,2019-09-14,2019-09-14,12761.337
2005-04-01,2019-09-14,2019-09-14,12910.021999999999
2005-07-01,2019-09-14,2019-09-14,13142.873
2005-10-01,2019-09-14,2019-09-14,13332.316
2006-01-01,2019-09-14,2019-09-14,13603.933
2006-04-01,2019-09-14,2019-09-14,13749.806
2006-07-01,2019-09-14,2019-09-14,13867.469
2006-10-01,2019-09-14,2019-09-14,14037.228000000001
2007-01-01,2019-09-14,2019-09-14,14208.569
2007-04-01,2019-09-14,2019-09-14,14382.363000000001
2007-07-01,2019-09-14,2019-09-14,14535.003
2007-10-01,2019-09-14,2019-09-14,14681.501
2008-01-01,2019-09-14,2019-09-14,14651.038999999999
2008-04-01,2019-09-14,2019-09-14,14805.611
2008-07-01,2019-09-14,2019-09-14,14835.187
2008-10-01,2019-09-14,2019-09-14,14559.543
2009-01-01,2019-09-14,2019-09-14,14394.546999999999
2009-04-01,2019-09-14,2019-09-14,14352.85
2009-07-01,2019-09-14,2019-09-14,14420.312
2009-10-01,2019-09-14,2019-09-14,14628.021
2010-01-01,2019-09-14,2019-09-14,14721.35
2010-04-01,2019-09-14,2019-09-14,14926.098
2010-07-01,2019-09-14,2019-09-14,15079.917
2010-10-01,2019-09-14,2019-09-14,15240.843
2011-01-01,2019-09-14,2019-09-14,15285.828000000001
2011-04-01,2019-09-14,2019-09-14,15496.188999999998
2011-07-01,2019-09-14,2019-09-14,15591.85
2011-10-01,2019-09-14,2019-09-14,15796.46
2012-01-01,2019-09-14,2019-09-14,16019.758
2012-04-01,2019-09-14,2019-09-14,16152.257
2012-07-01,2019-09-14,2019-09-14,16257.151000000002
2012-10-01,2019-09-14,2019-09-14,16358.863000000001
2013-01-01,2019-09-14,2019-09-14,16569.591
2013-04-01,2019-09-14,2019-09-14,16637.926
2013-07-01,2019-09-14,2019-09-14,16848.748
2013-10-01,2019-09-14,2019-09-14,17083.137
2014-01-01,2019-09-14,2019-09-14,17104.555
2014-04-01,2019-09-14,2019-09-14,17432.909
2014-07-01,2019-09-14,2019-09-14,17721.657
2014-10-01,2019-09-14,2019-09-14,17849.912
2015-01-01,2019-09-14,2019-09-14,17984.178
2015-04-01,2019-09-14,2019-09-14,18219.405
2015-07-01,2019-09-14,2019-09-14,18344.713
2015-10-01,2019-09-14,2019-09-14,18350.825
2016-01-01,2019-09-14,2019-09-14,18424.283
2016-04-01,2019-09-14,2019-09-14,18637.253
2016-07-01,2019-09-14,2019-09-14,18806.743000000002
2016-10-01,2019-09-14,2019-09-14,18991.883
2017-01-01,2019-09-14,2019-09-14,19190.431
2017-04-01,2019-09-14,2019-09-14,19356.648999999998
2017-07-01,2019-09-14,2019-09-14,19611.703999999998
2017-10-01,2019-09-14,2019-09-14,19918.91
2018-01-01,2019-09-14,2019-09-14,20163.159
2018-04-01,2019-09-14,2019-09-14,20510.177
2018-07-01,2019-09-14,2019-09-14,20749.752
2018-10-01,2019-09-14,2019-09-14,20897.804
2019-01-01,2019-09-14,2019-09-14,21098.827
2019-04-01,2019-09-14,2019-09-14,21339.121
