date,realtime_end,realtime_start,value
1979-12-04,2019-09-15,2019-09-15,
1979-12-05,2019-09-15,2019-09-15,
1979-12-06,2019-09-15,2019-09-15,
1979-12-07,2019-09-15,2019-09-15,
1979-12-10,2019-09-15,2019-09-15,
1979-12-11,2019-09-15,2019-09-15,
1979-12-12,2019-09-15,2019-09-15,
1979-12-13,2019-09-15,2019-09-15,
1979-12-14,2019-09-15,2019-09-15,
1979-12-17,2019-09-15,2019-09-15,
1979-12-18,2019-09-15,2019-09-15,
1979-12-19,2019-09-15,2019-09-15,
1979-12-20,2019-09-15,2019-09-15,
1979-12-21,2019-09-15,2019-09-15,
1979-12-24,2019-09-15,2019-09-15,
1979-12-25,2019-09-15,2019-09-15,
1979-12-26,2019-09-15,2019-09-15,
1979-12-27,2019-09-15,2019-09-15,
1979-12-28,2019-09-15,2019-09-15,
1979-12-31,2019-09-15,2019-09-15,165.35
1980-01-01,2019-09-15,2019-09-15,
1980-01-02,2019-09-15,2019-09-15,
1980-01-03,2019-09-15,2019-09-15,
1980-01-04,2019-09-15,2019-09-15,
1980-01-07,2019-09-15,2019-09-15,
1980-01-08,2019-09-15,2019-09-15,
1980-01-09,2019-09-15,2019-09-15,
1980-01-10,2019-09-15,2019-09-15,
1980-01-11,2019-09-15,2019-09-15,
1980-01-14,2019-09-15,2019-09-15,
1980-01-15,2019-09-15,2019-09-15,
1980-01-16,2019-09-15,2019-09-15,
1980-01-17,2019-09-15,2019-09-15,
1980-01-18,2019-09-15,2019-09-15,
1980-01-21,2019-09-15,2019-09-15,
1980-01-22,2019-09-15,2019-09-15,
1980-01-23,2019-09-15,2019-09-15,
1980-01-24,2019-09-15,2019-09-15,
1980-01-25,2019-09-15,2019-09-15,
1980-01-28,2019-09-15,2019-09-15,
1980-01-29,2019-09-15,2019-09-15,
1980-01-30,2019-09-15,2019-09-15,
1980-01-31,2019-09-15,2019-09-15,179.84
1980-02-01,2019-09-15,2019-09-15,
1980-02-04,2019-09-15,2019-09-15,
1980-02-05,2019-09-15,2019-09-15,
1980-02-06,2019-09-15,2019-09-15,
1980-02-07,2019-09-15,2019-09-15,
1980-02-08,2019-09-15,2019-09-15,
1980-02-11,2019-09-15,2019-09-15,
1980-02-12,2019-09-15,2019-09-15,
1980-02-13,2019-09-15,2019-09-15,
1980-02-14,2019-09-15,2019-09-15,
1980-02-15,2019-09-15,2019-09-15,
1980-02-18,2019-09-15,2019-09-15,
1980-02-19,2019-09-15,2019-09-15,
1980-02-20,2019-09-15,2019-09-15,
1980-02-21,2019-09-15,2019-09-15,
1980-02-22,2019-09-15,2019-09-15,
1980-02-25,2019-09-15,2019-09-15,
1980-02-26,2019-09-15,2019-09-15,
1980-02-27,2019-09-15,2019-09-15,
1980-02-28,2019-09-15,2019-09-15,
1980-02-29,2019-09-15,2019-09-15,179.08
1980-03-03,2019-09-15,2019-09-15,
1980-03-04,2019-09-15,2019-09-15,
1980-03-05,2019-09-15,2019-09-15,
1980-03-06,2019-09-15,2019-09-15,
1980-03-07,2019-09-15,2019-09-15,
1980-03-10,2019-09-15,2019-09-15,
1980-03-11,2019-09-15,2019-09-15,
1980-03-12,2019-09-15,2019-09-15,
1980-03-13,2019-09-15,2019-09-15,
1980-03-14,2019-09-15,2019-09-15,
1980-03-17,2019-09-15,2019-09-15,
1980-03-18,2019-09-15,2019-09-15,
1980-03-19,2019-09-15,2019-09-15,
1980-03-20,2019-09-15,2019-09-15,
1980-03-21,2019-09-15,2019-09-15,
1980-03-24,2019-09-15,2019-09-15,
1980-03-25,2019-09-15,2019-09-15,
