rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd,stats_file
1,"(25, 20, 5)",16,139,80,34,16,8,48.76,0.66,6.58,320.84,-0.49,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",17,139,80,34,16,8,48.76,0.66,6.58,320.84,-0.49,M_nasdaq100_stats_2023.06.02.192101.csv
3,"(25, 20, 3)",9,139,20,34,16,8,39.68,0.34,8.03,318.63,-0.24,M_nasdaq100_stats_2023.06.04.141803.csv
1,"(25, 20, 5)",9,150,80,16,11,10,48.09,0.66,6.48,311.62,-0.44,M_nasdaq100_stats_2023.06.02.171736.csv
1,"(25, 20, 5)",9,139,80,17,16,9,48.82,0.66,6.3,307.57,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",2,150,80,16,11,10,47.43,0.66,6.47,306.87,-0.44,M_nasdaq100_stats_2023.06.02.171135.csv
1,"(25, 20, 5)",29,139,80,34,16,8,46.88,0.66,6.54,306.6,-0.45,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 8)",9,139,80,34,16,8,44.48,0.64,6.89,306.47,-0.43,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 8)",9,139,80,34,16,8,44.48,0.64,6.89,306.47,-0.43,M_nasdaq100_stats_2023.06.02.190501.csv
1,"(25, 20, 5)",9,139,80,46,16,9,46.62,0.65,6.47,301.63,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 5)",9,139,80,25,16,9,47.41,0.66,6.36,301.53,-0.48,M_nasdaq100_stats_2023.06.02.184410.csv
3,"(25, 20, 3)",9,139,19,34,16,8,37.95,0.34,7.78,295.25,-0.27,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,19,34,16,8,37.95,0.34,7.78,295.25,-0.27,M_nasdaq100_stats_2023.06.04.141803.csv
1,"(25, 20, 5)",9,139,80,16,12,9,46.86,0.66,6.28,294.28,-0.46,M_nasdaq100_stats_2023.06.02.180004.csv
1,"(25, 20, 5)",9,139,80,16,11,11,46.18,0.65,6.37,294.17,-0.44,M_nasdaq100_stats_2023.06.02.174435.csv
1,"(25, 20, 2)",9,139,80,16,11,1,57.68,0.7,5.05,291.28,-0.47,M_nasdaq100_stats_2023.06.02.172427.csv
1,"(25, 20, 4)",9,139,80,16,11,1,45.42,0.65,6.41,291.14,-0.39,M_nasdaq100_stats_2023.06.02.172427.csv
1,"(25, 20, 5)",9,139,80,16,11,8,45.97,0.65,6.31,290.07,-0.44,M_nasdaq100_stats_2023.06.02.174435.csv
1,"(25, 20, 5)",19,139,80,34,16,8,44.43,0.64,6.44,286.13,-0.49,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 5)",21,139,80,34,16,8,44.43,0.64,6.44,286.13,-0.49,M_nasdaq100_stats_2023.06.02.192101.csv
3,"(25, 20, 3)",9,139,22,34,16,8,36.3,0.34,7.82,283.87,-0.18,M_nasdaq100_stats_2023.06.04.141803.csv
1,"(25, 20, 5)",25,139,80,34,16,8,43.61,0.64,6.42,279.98,-0.49,M_nasdaq100_stats_2023.06.02.192101.csv
3,"(25, 20, 5)",9,139,60,34,16,8,33.2,0.33,8.31,275.89,-0.24,M_nasdaq100_stats_2023.06.04.133243.csv
3,"(25, 20, 5)",9,139,40,34,16,8,33.2,0.33,8.31,275.89,-0.24,M_nasdaq100_stats_2023.06.05.154959.csv
3,"(25, 20, 4)",9,139,60,34,16,8,35.77,0.33,7.71,275.79,-0.27,M_nasdaq100_stats_2023.06.04.133243.csv
1,"(25, 20, 8)",9,139,80,16,16,9,39.16,0.62,6.84,267.85,-0.38,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,16,16,9,39.16,0.62,6.84,267.85,-0.38,M_nasdaq100_stats_2023.06.02.181345.csv
3,"(25, 20, 3)",9,139,28,34,16,8,35.1,0.33,7.59,266.41,-0.25,M_nasdaq100_stats_2023.06.04.141803.csv
3,"(25, 20, 3)",9,139,28,34,16,8,35.1,0.33,7.59,266.41,-0.25,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,27,34,16,8,34.89,0.33,7.6,265.16,-0.24,M_nasdaq100_stats_2023.06.04.142408.csv
1,"(25, 20, 5)",1,139,80,16,11,10,41.65,0.63,6.29,261.98,-0.44,M_nasdaq100_stats_2023.06.02.171853.csv
1,"(25, 20, 5)",2,139,80,16,11,10,41.65,0.63,6.29,261.98,-0.44,M_nasdaq100_stats_2023.06.02.172125.csv
